hst_id,url
hst_skycell-p1312x08y18_wfc3_uvis_f814w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1312x08y18_wfc3_uvis_f814w_all_drc.fits
hst_16756_05_acs_wfc_f555w_jemm05,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_16756_05_acs_wfc_f555w_jemm05_drc.fits
hst_15278_03_acs_wfc_f435w_jdkq03,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15278_03_acs_wfc_f435w_jdkq03_drc.fits
hst_skycell-p2135x10y05_acs_wfc_f606w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p2135x10y05_acs_wfc_f606w_all_drc.fits
hst_skycell-p1495x10y08_acs_wfc_f606w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1495x10y08_acs_wfc_f606w_all_drc.fits
hst_skycell-p1402x08y01_wfc3_uvis_f814w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1402x08y01_wfc3_uvis_f814w_all_drc.fits
hst_12445_9k_acs_wfc_f814w_jbtm9k,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12445_9k_acs_wfc_f814w_jbtm9k_drc.fits
hst_15939_17_wfc3_uvis_f475w_ie4i17,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15939_17_wfc3_uvis_f475w_ie4i17_drc.fits
hst_15278_02_acs_wfc_f606w_jdkq02,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15278_02_acs_wfc_f606w_jdkq02_drc.fits
hst_skycell-p1411x07y05_acs_wfc_f814w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1411x07y05_acs_wfc_f814w_all_drc.fits
hst_14734_47_acs_wfc_f814w_jdan47,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_14734_47_acs_wfc_f814w_jdan47_drc.fits
hst_15278_04_acs_wfc_f435w_jdkq04,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15278_04_acs_wfc_f435w_jdkq04_drc.fits
ie4i14020,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/ie4i14020_drc.fits
hst_15275_14_acs_wfc_f606w_jdn014,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15275_14_acs_wfc_f606w_jdn014_drc.fits
hst_13003_40_wfc3_uvis_f390w_ic2i40,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_13003_40_wfc3_uvis_f390w_ic2i40_drc.fits
hst_skycell-p2204x17y17_wfc3_uvis_f438w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p2204x17y17_wfc3_uvis_f438w_all_drc.fits
hst_12063_68_acs_wfc_f814w_jbeo68,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12063_68_acs_wfc_f814w_jbeo68_drc.fits
hst_12444_6m_acs_wfc_f814w_jboi6m,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12444_6m_acs_wfc_f814w_jboi6m_drc.fits
ibcd670g0,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/ibcd670g0_drc.fits
hst_9480_yv_acs_wfc_f775w_j8hoyv,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_9480_yv_acs_wfc_f775w_j8hoyv_drc.fits
jbtm8f010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jbtm8f010_drc.fits
hst_skycell-p2064x11y03_wfc3_uvis_f390w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p2064x11y03_wfc3_uvis_f390w_all_drc.fits
hst_12751_02_wfc3_uvis_f606w_ibv402,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12751_02_wfc3_uvis_f606w_ibv402_drc.fits
hst_12859_09_wfc3_uvis_f814w_ic0k09,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12859_09_wfc3_uvis_f814w_ic0k09_drc.fits
