(248.02027528771495, 37.639223926668386)
(36.62448405968184, 0.20589872248975552)
(326.9940885492301, 6.955423894923371)
(31.461148846542958, -9.841092096953915)
(11.04776685014331, 41.78480562135585)
(189.37727912816433, 9.555100820830347)
(11.940107025438536, -0.008104954419926154)
(41.6416069997756, -0.24745287403032287)
(192.06712031916354, 11.062326313777973)
(40.66963612399844, -0.004888002374326736)
(27.491539975162674, 27.431247616883915)
(12.218357835403832, -0.7714234533010638)
(12.285171730723176, 42.749018471576896)
(54.73096885138072, -0.0879651657675395)
(21.018369230492933, 0.740753559426609)
(160.03281273238417, 47.77694561354485)
(4.636603118674697, 16.45789103058604)
(43.218230553985954, -1.2700632232653106)
(187.03159509688476, 12.560486445532803)
(54.73099798192184, -0.08794775432619702)
(183.88488121401068, 36.34037811910439)
(40.44144772847177, -8.412150023668119)
(150.7351714114964, 2.637523268371865)
(33.07046727360495, 0.4595318292810095)
(334.4619280605843, 0.3675541276567947)
(36.15141550383233, -0.052746485453269085)
(149.5676587294428, 2.682117890956036)
(173.20517737157007, -0.42084814939032744)
(169.92230141051652, 0.9448472463453025)
(40.67025017607822, -0.0047774261381632035)
(149.80093128283832, 1.9382071319634377)
(3.427895517162633, 15.380616798765177)
(28.226256323006854, 0.38149747690472025)
(29.75611127032841, -0.8197063570588325)
(12.566590706092086, -0.6371375258298166)
(150.39129823714308, 2.2487494439691176)
(150.02868171496772, 2.430013403401119)
(312.4717436566929, -0.19578475928024092)
(11.940107065555155, -0.008105843223043302)
(32.04823602409766, -7.823494341218861)
(174.73760258632302, 63.48250298555179)
(186.51989288152703, -0.09416050556802295)
(40.205232383117036, -8.245998468546077)
(54.74082571247931, -0.08223561305840826)
(132.82861177635533, 11.831296517199432)
(158.15727529323183, 53.40180086275106)
(24.299396350723605, -8.431361542340737)
(28.939261943027805, 31.340107415994872)
(83.79609903859472, -5.633997950798943)
(147.75319611532083, 33.55582913232304)
(11.246374045829349, 41.74224163258411)
(42.37162791086476, -0.3512078138096257)
(152.0481435798196, 51.84776885747746)
(149.9354649564932, 2.473308040917516)
(312.4718122594673, -0.20593818193819627)
(130.7577993307348, 36.36334681757645)
(310.89259233995364, -0.21163402773629986)
(116.336483559012, 39.50189502340344)
(36.63090317312999, 0.22177537841786163)
